,spxl_simulation
1934-01-01,222.07550315802652
1934-01-02,231.42178675956376
1934-01-03,221.79849524348757
1934-01-04,219.78736013346594
1934-01-05,211.15505140948642
1934-01-08,207.91786792818587
1934-01-09,214.93949534740776
1934-01-10,232.57024127481577
1934-01-11,236.00125310970617
1934-01-12,227.65410829537706
1934-01-15,266.3031749504318
1934-01-16,270.0467126998441
1934-01-17,267.7622796840099
1934-01-18,265.49082737935834
1934-01-19,287.9581806772549
1934-01-22,286.3658310544624
1934-01-23,297.378451685872
1934-01-24,303.0179987009777
1934-01-25,303.0057821650617
1934-01-26,294.81894969635374
1934-01-29,308.45113488967775
1934-01-30,320.0159537029686
1934-01-31,309.7896141967831
1934-02-01,333.42559572627005
1934-02-02,332.5393113977935
1934-02-05,363.8920580640534
1934-02-06,364.8017532562458
1934-02-07,330.52901316758664
1934-02-08,334.8457619002661
1934-02-09,306.8799203267285
1934-02-13,310.16142916963867
1934-02-14,315.9540850767155
1934-02-15,334.4116478173901
1934-02-16,337.013026451719
1934-02-19,321.2293324082642
1934-02-20,324.6096492563375
1934-02-21,327.15926998428665
1934-02-23,301.3855077242083
1934-02-26,265.6295232039584
1934-02-27,274.56424231326815
1934-02-28,273.4203096854554
1934-03-01,270.19593709620324
1934-03-02,296.6501309435649
1934-03-05,291.81459177097815
1934-03-06,281.4660702571811
1934-03-07,259.7238863066213
1934-03-08,274.4147672801308
1934-03-09,269.067861220858
1934-03-12,286.3596065517009
1934-03-13,286.34806161894664
1934-03-14,287.1203165903783
1934-03-15,272.9751976013704
1934-03-16,275.2410938327242
1934-03-19,246.9936187685683
1934-03-20,261.8741853081593
1934-03-21,246.38701057932016
1934-03-22,259.81636867610564
1934-03-23,251.74767942396304
1934-03-26,264.647667319134
1934-03-27,243.1390079471576
1934-03-28,245.22925451791926
1934-03-29,257.187494101938
1934-03-31,259.8261564673151
1934-04-01,259.72872165863987
1934-04-02,269.9900077358461
1934-04-03,276.0012047201356
1934-04-04,278.2816003162567
1934-04-05,280.57446054550127
1934-04-06,284.4242652774076
1934-04-09,278.178841871039
1934-04-10,290.4515130572481
1934-04-11,289.64981717142035
1934-04-12,287.27257846958366
1934-04-13,284.1242624784607
1934-04-16,270.87962283853363
1934-04-17,279.16093535218454
1934-04-18,289.9162180941373
1934-04-19,291.4815898888604
1934-04-20,300.1747185172025
1934-04-23,294.5141676071988
1934-04-24,287.3319760366641
1934-04-25,282.61859593015265
1934-04-26,270.9821224634783
1934-04-27,271.7246232269081
1934-04-30,248.80879216436134
1934-05-01,248.69923762109212
1934-05-02,233.71019383165665
1934-05-03,236.43689086586625
1934-05-04,238.49531977217785
1934-05-07,203.1273867889254
1934-05-08,218.02762952135285
1934-05-09,206.95475081235153
1934-05-10,192.4930895646198
1934-05-11,186.50108784729585
1934-05-14,180.63489591443692
1934-05-15,190.94960745310033
1934-05-16,186.77789895810363
1934-05-17,188.52873812359587
1934-05-18,203.85507017946955
1934-05-21,205.0886082892279
1934-05-22,191.36620803345784
1934-05-23,186.00420518817236
1934-05-24,187.74779181810206
1934-05-25,194.2007826333836
1934-05-28,202.00102589853273
1934-05-29,199.52694880890135
1934-05-31,190.772975081691
1934-06-01,176.99620465968388
